Air Pollution - Particulate Matter for United States by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019"

Sorted by Percent

County,FIPS,Micrograms per cubic meter (PM2.5)(2)
"Franklin County, Arkansas",05047,8.9
"Franklin County, Texas",48159,8.9
"Fulton County, Ohio",39051,8.9
"Garfield County, Oklahoma",40047,8.9
"Garland County, Arkansas",05051,8.9
"Gibson County, Indiana",18051,8.9
"Grant Parish, Louisiana",22043,8.9
"Hancock County, Kentucky",21091,8.9
"Hardin County, Ohio",39065,8.9
"Hopkins County, Texas",48223,8.9
"Hughes County, Oklahoma",40063,8.9
"Jackson County, Florida",12063,8.9
"Jackson County, Texas",48239,8.9
"Jasper County, Illinois",17079,8.9
"Jasper County, Indiana",18073,8.9
"Jefferson Davis County, Mississippi",28065,8.9
"Kosciusko County, Indiana",18085,8.9
"Lamar County, Alabama",01075,8.9
"Lamar County, Texas",48277,8.9
"Leon County, Texas",48289,8.9
"Livingston County, Kentucky",21139,8.9
"Long County, Georgia",13183,8.9
"Marshall County, Mississippi",28093,8.9
"Massac County, Illinois",17127,8.9
"Montgomery County, Arkansas",05097,8.9
"Morrow County, Oregon",41049,8.9
"Muskingum County, Ohio",39119,8.9
"Newton County, Indiana",18111,8.9
"Newton County, Missouri",29145,8.9
"Noble County, Indiana",18113,8.9
"Northumberland County, Pennsylvania",42097,8.9
"Okfuskee County, Oklahoma",40107,8.9
"Parke County, Indiana",18121,8.9
"Pearl River County, Mississippi",28109,8.9
"Pike County, Indiana",18125,8.9
"Prairie County, Arkansas",05117,8.9
"Ripley County, Indiana",18137,8.9
"Ross County, Ohio",39141,8.9
"Rush County, Indiana",18139,8.9
"San Augustine County, Texas",48405,8.9
"Seminole County, Georgia",13253,8.9
"Sevier County, Tennessee",47155,8.9
"St. Martin Parish, Louisiana",22099,8.9
"St. Tammany Parish, Louisiana",22103,8.9
"Tallahatchie County, Mississippi",28135,8.9
"Tate County, Mississippi",28137,8.9
"Tyler County, Texas",48457,8.9
"Union County, Indiana",18161,8.9
"Vernon Parish, Louisiana",22115,8.9
"Warren County, Mississippi",28149,8.9
"Washington County, Wisconsin",55131,8.9
"Wells County, Indiana",18179,8.9
"Williamson County, Illinois",17199,8.9
"Yalobusha County, Mississippi",28161,8.9
"York County, Pennsylvania",42133,8.9
"Alexander County, Illinois",17003,8.8
"Aransas County, Texas",48007,8.8
"Atoka County, Oklahoma",40005,8.8
"Berkeley County, West Virginia",54003,8.8
"Breckinridge County, Kentucky",21027,8.8
"Broomfield County, Colorado",08014,8.8
"Burlington County, New Jersey",34005,8.8
"Cherokee County, Kansas",20021,8.8
"Cherokee County, South Carolina",45021,8.8
"Clay County, Illinois",17025,8.8
"Clearfield County, Pennsylvania",42033,8.8
"Clinton County, Illinois",17027,8.8
"Coahoma County, Mississippi",28027,8.8
"Crawford County, Indiana",18025,8.8
"Dane County, Wisconsin",55025,8.8
"DeKalb County, Indiana",18033,8.8
"Defiance County, Ohio",39039,8.8
"Douglas County, Illinois",17041,8.8
"East Feliciana Parish, Louisiana",22037,8.8
"El Paso County, Texas",48141,8.8
"Erie County, Ohio",39043,8.8
"Fayette County, Illinois",17051,8.8
"Fayette County, Indiana",18041,8.8
"Franklin County, Illinois",17055,8.8
"Hancock County, Ohio",39063,8.8
"Henry County, Kentucky",21103,8.8
"Henry County, Ohio",39069,8.8
"Highland County, Ohio",39071,8.8
"Hood County, Texas",48221,8.8
"Huntington County, Indiana",18069,8.8
"Johnson County, Arkansas",05071,8.8
"Kane County, Illinois",17089,8.8
"Kendall County, Texas",48259,8.8
"Lafayette County, Wisconsin",55065,8.8
"Lawrence County, Illinois",17101,8.8
"Lawrence County, Mississippi",28077,8.8
"Lincoln County, Mississippi",28085,8.8
"Lucas County, Ohio",39095,8.8
"Marion County, Illinois",17121,8.8
"Marion County, Mississippi",28091,8.8
"Montgomery County, Illinois",17135,8.8
"Paulding County, Ohio",39125,8.8
"Perry County, Ohio",39127,8.8
"Phillips County, Arkansas",05107,8.8
"Pickens County, South Carolina",45077,8.8
"Posey County, Indiana",18129,8.8
"Refugio County, Texas",48391,8.8
"Richland County, Illinois",17159,8.8
"Sabine County, Texas",48403,8.8
"Saluda County, South Carolina",45081,8.8
"Sanders County, Montana",30089,8.8
"Santa Cruz County, Arizona",04023,8.8
"Schuylkill County, Pennsylvania",42107,8.8
"Seneca County, Ohio",39147,8.8
"St. Charles Parish, Louisiana",22089,8.8
"St. James Parish, Louisiana",22093,8.8
"St. John the Baptist Parish, Louisiana",22095,8.8
"Stephens County, Oklahoma",40137,8.8
"Stevens County, Washington",53065,8.8
"Switzerland County, Indiana",18155,8.8
"Tippecanoe County, Indiana",18157,8.8
"Tipton County, Indiana",18159,8.8
"Union County, Tennessee",47173,8.8
"Walton County, Florida",12131,8.8
"Washington County, Indiana",18175,8.8
"Washington Parish, Louisiana",22117,8.8
"Wayne County, Georgia",13305,8.8
"Winston County, Alabama",01133,8.8
"Wyandot County, Ohio",39175,8.8
"Adair County, Oklahoma",40001,8.7
"Ballard County, Kentucky",21007,8.7
"Belmont County, Ohio",39013,8.7
"Benton County, Indiana",18007,8.7
"Blackford County, Indiana",18009,8.7
"Blanco County, Texas",48031,8.7
"Bosque County, Texas",48035,8.7
"Calhoun County, Texas",48057,8.7
"Carroll County, Kentucky",21041,8.7
"Cass County, Indiana",18017,8.7
"Chatham County, North Carolina",37037,8.7
"Clayton County, Georgia",13063,8.7
"Cleburne County, Arkansas",05023,8.7
"Coal County, Oklahoma",40029,8.7
"Craig County, Oklahoma",40035,8.7
"Dade County, Georgia",13083,8.7
"Daviess County, Kentucky",21059,8.7
"Decatur County, Indiana",18031,8.7
"Delta County, Texas",48119,8.7
"Edwards County, Illinois",17047,8.7
"Franklin County, Kentucky",21073,8.7
"Gallatin County, Kentucky",21077,8.7
"Grant County, Indiana",18053,8.7
"Greene County, Arkansas",05055,8.7
"Humphreys County, Mississippi",28053,8.7
"Huron County, Ohio",39077,8.7
"Jackson County, Illinois",17077,8.7
"Jackson County, Oregon",41029,8.7
"Jasper County, South Carolina",45053,8.7
"Jefferson County, Illinois",17081,8.7
"Jefferson County, Indiana",18077,8.7
"Johnson County, Illinois",17087,8.7
"Johnston County, Oklahoma",40069,8.7
"Jones County, Iowa",19105,8.7
"Knox County, Illinois",17095,8.7
"LaGrange County, Indiana",18087,8.7
"Labette County, Kansas",20099,8.7
"Latah County, Idaho",16057,8.7
"Lee County, Arkansas",05077,8.7
"Lewis and Clark County, Montana",30049,8.7
"Linn County, Iowa",19113,8.7
"Marshall County, Oklahoma",40095,8.7
"Martin County, Indiana",18101,8.7
"Mason County, Illinois",17125,8.7
"McLean County, Kentucky",21149,8.7
"Mercer County, Illinois",17131,8.7
"Milwaukee County, Wisconsin",55079,8.7
"Monroe County, Arkansas",05095,8.7
"Murray County, Oklahoma",40099,8.7
"Newberry County, South Carolina",45071,8.7
"Noble County, Oklahoma",40103,8.7
"Ohio County, Kentucky",21183,8.7
"Owen County, Indiana",18119,8.7
"Pawnee County, Oklahoma",40117,8.7
"Philadelphia County, Pennsylvania",42101,8.7
"Pierce County, Georgia",13229,8.7
"Pike County, Mississippi",28113,8.7
"Poinsett County, Arkansas",05111,8.7
"Pointe Coupee Parish, Louisiana",22077,8.7
"Polk County, Arkansas",05113,8.7
"Pope County, Illinois",17151,8.7
"Preble County, Ohio",39135,8.7
"Prentiss County, Mississippi",28117,8.7
"Pushmataha County, Oklahoma",40127,8.7
"Putnam County, Ohio",39137,8.7
"Quitman County, Mississippi",28119,8.7
"Rains County, Texas",48379,8.7
"Scott County, Indiana",18143,8.7
"Scott County, Kentucky",21209,8.7
"St. Francis County, Arkansas",05123,8.7
"St. Landry Parish, Louisiana",22097,8.7
"Stoddard County, Missouri",29207,8.7
"Trimble County, Kentucky",21223,8.7
"Union County, Illinois",17181,8.7
"Union County, Pennsylvania",42119,8.7
"Vanderburgh County, Indiana",18163,8.7
"Wabash County, Illinois",17185,8.7
"Wabash County, Indiana",18169,8.7
"Ware County, Georgia",13299,8.7
"Warren County, Indiana",18171,8.7
"Washington County, Ohio",39167,8.7
"Washtenaw County, Michigan",26161,8.7
"Wayne County, Illinois",17191,8.7
"White County, Illinois",17193,8.7
"Williams County, Ohio",39171,8.7
"Wilson County, Kansas",20205,8.7
"Woodford County, Kentucky",21239,8.7
"Yuba County, California",06115,8.7
"Zavala County, Texas",48507,8.7
"Acadia Parish, Louisiana",22001,8.6
"Allendale County, South Carolina",45005,8.6
"Anderson County, Kentucky",21005,8.6
"Assumption Parish, Louisiana",22007,8.6
"Baltimore City, Maryland",24510,8.6
"Bandera County, Texas",48019,8.6
"Berrien County, Michigan",26021,8.6
"Blaine County, Oklahoma",40011,8.6
"Bond County, Illinois",17005,8.6
"Bronx County, New York",36005,8.6
"Buchanan County, Missouri",29021,8.6
"Caldwell Parish, Louisiana",22021,8.6
"Cass County, Michigan",26027,8.6
"Chester County, South Carolina",45023,8.6
"Claiborne County, Tennessee",47025,8.6
"Cobb County, Georgia",13067,8.6
"Crittenden County, Kentucky",21055,8.6
"Cross County, Arkansas",05037,8.6
"Dunklin County, Missouri",29069,8.6
"Duval County, Florida",12031,8.6
"Fulton County, Illinois",17057,8.6
"Gilmer County, Georgia",13123,8.6
"Grant County, Kentucky",21081,8.6
"Graves County, Kentucky",21083,8.6
"Guernsey County, Ohio",39059,8.6
"Habersham County, Georgia",13137,8.6
"Hampton County, South Carolina",45049,8.6
"Holmes County, Florida",12059,8.6
"Hopkins County, Kentucky",21107,8.6
"Iberia Parish, Louisiana",22045,8.6
"Independence County, Arkansas",05063,8.6
"Jackson County, Alabama",01071,8.6
"Jackson County, Michigan",26075,8.6
"Jackson County, Mississippi",28059,8.6
"Jessamine County, Kentucky",21113,8.6
"Lampasas County, Texas",48281,8.6
"Lanier County, Georgia",13173,8.6
"Latimer County, Oklahoma",40077,8.6
"Lawrence County, Arkansas",05075,8.6
"Limestone County, Alabama",01083,8.6
"Lincoln County, Missouri",29113,8.6
"Love County, Oklahoma",40085,8.6
"Marion County, Alabama",01093,8.6
"Marshall County, Indiana",18099,8.6
"McDonald County, Missouri",29119,8.6
"Menard County, Illinois",17129,8.6
"Miami County, Indiana",18103,8.6
"Mississippi County, Missouri",29133,8.6
"New Castle County, Delaware",10003,8.6
"New Madrid County, Missouri",29143,8.6
"New York County, New York",36061,8.6
"Northampton County, Pennsylvania",42095,8.6
"Orange County, Indiana",18117,8.6
"Pulaski County, Illinois",17153,8.6
"Richland Parish, Louisiana",22083,8.6
"Rock Island County, Illinois",17161,8.6
"Rockland County, New York",36087,8.6
"Saline County, Illinois",17165,8.6
"Scott County, Arkansas",05127,8.6
"St. Joseph County, Michigan",26149,8.6
"Stark County, Illinois",17175,8.6
"Starke County, Indiana",18149,8.6
"Tunica County, Mississippi",28143,8.6
"Union County, Kentucky",21225,8.6
"Union County, South Carolina",45087,8.6
"Van Buren County, Arkansas",05141,8.6
"Vermilion Parish, Louisiana",22113,8.6
"Walla Walla County, Washington",53071,8.6
"Washington County, Florida",12133,8.6
"Washington County, Iowa",19183,8.6
"Webster County, Kentucky",21233,8.6
"Winnebago County, Wisconsin",55139,8.6
"Woodruff County, Arkansas",05147,8.6
"Yadkin County, North Carolina",37197,8.6
"Alexandria City, Virginia",51510,8.5
"Allen Parish, Louisiana",22003,8.5
"Anne Arundel County, Maryland",24003,8.5
"Beaufort County, South Carolina",45013,8.5
"Bedford County, Pennsylvania",42009,8.5
"Bourbon County, Kentucky",21017,8.5
"Butler County, Missouri",29023,8.5
"Calhoun County, Illinois",17013,8.5
"Calhoun County, Michigan",26025,8.5
"Calumet County, Wisconsin",55015,8.5
"Carlisle County, Kentucky",21039,8.5
"Carroll County, Maryland",24013,8.5
"Christian County, Kentucky",21047,8.5
"Clay County, Florida",12019,8.5
"Columbia County, Wisconsin",55021,8.5
"Delaware County, Iowa",19055,8.5
"Des Moines County, Iowa",19057,8.5
"Fayette County, Tennessee",47047,8.5
"Franklin County, North Carolina",37069,8.5
"Frederick County, Maryland",24021,8.5
"Fulton County, Indiana",18049,8.5
"Gallatin County, Illinois",17059,8.5
"Grayson County, Kentucky",21085,8.5
"Greenville County, South Carolina",45045,8.5
"Hardin County, Illinois",17069,8.5
"Harnett County, North Carolina",37085,8.5
"Hillsdale County, Michigan",26059,8.5
"Hocking County, Ohio",39073,8.5
"Iberville Parish, Louisiana",22047,8.5
"Jackson County, Indiana",18071,8.5
"Jefferson County, Colorado",08059,8.5
"Jefferson County, Texas",48245,8.5
"Jennings County, Indiana",18079,8.5
"LaFourche Parish, Louisiana",22057,8.5
"Lapeer County, Michigan",26087,8.5
"Lawrence County, Alabama",01079,8.5
"Lehigh County, Pennsylvania",42077,8.5
"Llano County, Texas",48299,8.5
"Louisa County, Iowa",19115,8.5
"Lumpkin County, Georgia",13187,8.5
"Lyon County, Kentucky",21143,8.5
"Madison Parish, Louisiana",22065,8.5
"Mississippi County, Arkansas",05093,8.5
"Missoula County, Montana",30063,8.5
"Mono County, California",06051,8.5
"Montour County, Pennsylvania",42093,8.5
"Muhlenberg County, Kentucky",21177,8.5
"Nassau County, New York",36059,8.5
"Nez Perce County, Idaho",16069,8.5
"Orange County, North Carolina",37135,8.5
"Orangeburg County, South Carolina",45075,8.5
"Owen County, Kentucky",21187,8.5
"Pendleton County, Kentucky",21191,8.5
"Perry County, Illinois",17145,8.5
"Pike County, Ohio",39131,8.5
"Prince William County, Virginia",51153,8.5
"Pulaski County, Indiana",18131,8.5
"Putnam County, West Virginia",54079,8.5
"Richmond City, Virginia",51760,8.5
"Salem County, New Jersey",34033,8.5
"Sharkey County, Mississippi",28125,8.5
"Snohomish County, Washington",53061,8.5
"St. Joseph County, Indiana",18141,8.5
"Stephens County, Georgia",13257,8.5
"Steuben County, Indiana",18151,8.5
"Sutter County, California",06101,8.5
"Tippah County, Mississippi",28139,8.5
"Walthall County, Mississippi",28147,8.5
"Warren County, Illinois",17187,8.5
"Washington County, Kentucky",21229,8.5
"West Carroll Parish, Louisiana",22123,8.5
"West Feliciana Parish, Louisiana",22125,8.5
"Whitley County, Indiana",18183,8.5
"Whitman County, Washington",53075,8.5
"Adams County, Mississippi",28001,8.4
"Adams County, Ohio",39001,8.4
"Alexander County, North Carolina",37003,8.4
"Amite County, Mississippi",28005,8.4
"Anson County, North Carolina",37007,8.4
"Avoyelles Parish, Louisiana",22009,8.4
"Bamberg County, South Carolina",45009,8.4
"Barry County, Michigan",26015,8.4
"Bay County, Florida",12005,8.4
"Bell County, Texas",48027,8.4
"Benton County, Mississippi",28009,8.4
"Branch County, Michigan",26023,8.4
"Claiborne County, Mississippi",28021,8.4
"Clark County, Kentucky",21049,8.4
"Clark County, Nevada",32003,8.4
"Clay County, Arkansas",05021,8.4
"Clayton County, Iowa",19043,8.4
"Crawford County, Kansas",20037,8.4
"Dubois County, Indiana",18037,8.4
"East Carroll Parish, Louisiana",22035,8.4
"Eaton County, Michigan",26045,8.4
"Etowah County, Alabama",01055,8.4
"Evangeline Parish, Louisiana",22039,8.4
"Fairfax City, Virginia",51600,8.4
"Falls Church City, Virginia",51610,8.4
"Franklin County, Mississippi",28037,8.4
"Gallia County, Ohio",39053,8.4
"Grant County, Wisconsin",55043,8.4
"Granville County, North Carolina",37077,8.4
"Hancock County, Illinois",17067,8.4
"Hanover County, Virginia",51085,8.4
"Harrison County, Kentucky",21097,8.4
"Henderson County, Illinois",17071,8.4
"Iowa County, Wisconsin",55049,8.4
"Jefferson County, Florida",12065,8.4
"Jefferson County, Pennsylvania",42065,8.4
"Jefferson Davis Parish, Louisiana",22053,8.4
"La Salle Parish, Louisiana",22059,8.4
"Larue County, Kentucky",21123,8.4
"Lawrence County, Indiana",18093,8.4
"Lee County, North Carolina",37105,8.4
"Lenawee County, Michigan",26091,8.4
"Madison County, Indiana",18095,8.4
"Madison County, Kentucky",21151,8.4
"Mahoning County, Ohio",39099,8.4
"Major County, Oklahoma",40093,8.4
"Maricopa County, Arizona",04013,8.4
"Marion County, Kentucky",21155,8.4
"Marion County, Tennessee",47115,8.4
"Mason County, West Virginia",54053,8.4
"McDonough County, Illinois",17109,8.4
"Meigs County, Ohio",39105,8.4
"Mercer County, Kentucky",21167,8.4
"Monroe County, Illinois",17133,8.4
"Montague County, Texas",48337,8.4
"Moore County, North Carolina",37125,8.4
"Morgan County, Illinois",17137,8.4
"Nassau County, Florida",12089,8.4
"Niagara County, New York",36063,8.4
"Payette County, Idaho",16075,8.4
"Pittsburg County, Oklahoma",40121,8.4
"Platte County, Missouri",29165,8.4
"Rutherford County, Tennessee",47149,8.4
"Sacramento County, California",06067,8.4
"Somerset County, New Jersey",34035,8.4
"Somerset County, Pennsylvania",42111,8.4
"Somervell County, Texas",48425,8.4
"St. Helena Parish, Louisiana",22091,8.4
"St. Johns County, Florida",12109,8.4
"Tipton County, Tennessee",47167,8.4
"Washington County, Illinois",17189,8.4
"Wayne County, West Virginia",54099,8.4
"Williamson County, Tennessee",47187,8.4
"Wilson County, Tennessee",47189,8.4
"Adams County, Illinois",17001,8.3
"Alamance County, North Carolina",37001,8.3
"Alcorn County, Mississippi",28003,8.3
"Allen County, Kansas",20001,8.3
"Anchorage Borough, Alaska",02020,8.3
"Anderson County, Tennessee",47001,8.3
"Ashtabula County, Ohio",39007,8.3
"Baltimore County, Maryland",24005,8.3
"Barry County, Missouri",29009,8.3
"Benton County, Iowa",19011,8.3
"Boyle County, Kentucky",21021,8.3
"Bracken County, Kentucky",21023,8.3
"Brown County, Indiana",18013,8.3
"Buchanan County, Iowa",19019,8.3
"Butler County, Kentucky",21031,8.3
"Caldwell County, Kentucky",21033,8.3
"Calhoun County, Florida",12013,8.3
"Cass County, Illinois",17017,8.3
"Catawba County, North Carolina",37035,8.3
"Clinch County, Georgia",13065,8.3
"Clinton County, Michigan",26037,8.3
"Colleton County, South Carolina",45029,8.3
"Columbia County, Pennsylvania",42037,8.3
"Concordia Parish, Louisiana",22029,8.3
"Crittenden County, Arkansas",05035,8.3
"Custer County, Oklahoma",40039,8.3
"Delaware County, Indiana",18035,8.3
"Dorchester County, South Carolina",45035,8.3
"Edmonson County, Kentucky",21061,8.3
"Fairfield County, South Carolina",45039,8.3
"Fond du Lac County, Wisconsin",55039,8.3
"Franklin Parish, Louisiana",22041,8.3
"Garrard County, Kentucky",21079,8.3
"Greenup County, Kentucky",21089,8.3
"Hart County, Kentucky",21099,8.3
"Hawkins County, Tennessee",47073,8.3
"Hennepin County, Minnesota",27053,8.3
"Henry County, Iowa",19087,8.3
"Iowa County, Iowa",19095,8.3
"Issaquena County, Mississippi",28055,8.3
"Jackson County, Ohio",39079,8.3
"Jefferson County, Oklahoma",40067,8.3
"Kershaw County, South Carolina",45055,8.3
"King County, Washington",53033,8.3
"Kleberg County, Texas",48273,8.3
"Lee County, Iowa",19111,8.3
"Lincoln County, Washington",53043,8.3
"Madison County, Florida",12079,8.3
"Medina County, Ohio",39103,8.3
"Mobile County, Alabama",01097,8.3
"Noble County, Ohio",39121,8.3
"Nowata County, Oklahoma",40105,8.3
"Osage County, Kansas",20139,8.3
"Osceola County, Florida",12097,8.3
"Ottawa County, Michigan",26139,8.3
"Ottawa County, Oklahoma",40115,8.3
"Pasco County, Florida",12101,8.3
"Perry County, Missouri",29157,8.3
"Pierce County, Washington",53053,8.3
"Porter County, Indiana",18127,8.3
"Providence County, Rhode Island",44007,8.3
"Rutherford County, North Carolina",37161,8.3
"Sumter County, South Carolina",45085,8.3
"Tensas Parish, Louisiana",22107,8.3
"Uvalde County, Texas",48463,8.3
"Van Buren County, Michigan",26159,8.3
"Wakulla County, Florida",12129,8.3
"Warren County, Kentucky",21227,8.3
"Washington County, Georgia",13303,8.3
"White County, Georgia",13311,8.3
"Wichita County, Texas",48485,8.3
"Woodson County, Kansas",20207,8.3
"Ashley County, Arkansas",05003,8.2
"Barren County, Kentucky",21009,8.2
"Berkeley County, South Carolina",45015,8.2
"Brantley County, Georgia",13025,8.2
"Burke County, North Carolina",37023,8.2
"Cache County, Utah",49005,8.2
"Calhoun County, South Carolina",45017,8.2
"Cameron Parish, Louisiana",22023,8.2
"Campbell County, Kentucky",21037,8.2
"Catahoula Parish, Louisiana",22025,8.2
"Charles County, Maryland",24017,8.2
"Chautauqua County, Kansas",20019,8.2
"Christian County, Missouri",29043,8.2
"Clarion County, Pennsylvania",42031,8.2
"Clinton County, Pennsylvania",42035,8.2
"Comanche County, Oklahoma",40031,8.2
"Cotton County, Oklahoma",40033,8.2
"Cowley County, Kansas",20035,8.2
"Crawford County, Wisconsin",55023,8.2
"DeSoto County, Mississippi",28033,8.2
"Douglas County, Kansas",20045,8.2
"Echols County, Georgia",13101,8.2
"Elkhart County, Indiana",18039,8.2
"Erath County, Texas",48143,8.2
"Fayette County, Iowa",19065,8.2
"Fayette County, Kentucky",21067,8.2
"Franklin County, Alabama",01059,8.2
"Fulton County, Pennsylvania",42057,8.2
"Gillespie County, Texas",48171,8.2
"Grant County, Oklahoma",40053,8.2
"Greene County, Illinois",17061,8.2
"Greenwood County, Kansas",20073,8.2
"Hamilton County, Illinois",17065,8.2
"Harrison County, Texas",48203,8.2
"Ionia County, Michigan",26067,8.2
"Jackson County, Arkansas",05067,8.2
"Jackson County, West Virginia",54035,8.2
"Jefferson County, Kansas",20087,8.2
"Jefferson County, Mississippi",28063,8.2
"Jefferson County, West Virginia",54037,8.2
"Keokuk County, Iowa",19107,8.2
"Kerr County, Texas",48265,8.2
"Lawrence County, Missouri",29109,8.2
"Leavenworth County, Kansas",20103,8.2
"Lemhi County, Idaho",16059,8.2
"Lincoln County, Kentucky",21137,8.2
"Lycoming County, Pennsylvania",42081,8.2
"Lyon County, Kansas",20111,8.2
"Malheur County, Oregon",41045,8.2
"Mason County, Kentucky",21161,8.2
"McIntosh County, Georgia",13191,8.2
"Monmouth County, New Jersey",34025,8.2
"Monroe County, Ohio",39111,8.2
"Morgan County, Ohio",39115,8.2
"Muscatine County, Iowa",19139,8.2
"Orange County, Texas",48361,8.2
"Palo Pinto County, Texas",48363,8.2
"Pike County, Illinois",17149,8.2
"Plaquemines Parish, Louisiana",22075,8.2
"Pottawatomie County, Kansas",20149,8.2
"Randolph County, Arkansas",05121,8.2
"Richmond County, North Carolina",37153,8.2
"Rockingham County, North Carolina",37157,8.2
"Sangamon County, Illinois",17167,8.2
"Sharp County, Arkansas",05135,8.2
"St. Mary Parish, Louisiana",22101,8.2
"Stokes County, North Carolina",37169,8.2
"Vinton County, Ohio",39163,8.2
"Warren County, Missouri",29219,8.2
"Washita County, Oklahoma",40149,8.2
"Wilkinson County, Mississippi",28157,8.2
"Winona County, Minnesota",27169,8.2
"Worcester County, Massachusetts",25027,8.2
"Alfalfa County, Oklahoma",40003,8.1
"Allamakee County, Iowa",19005,8.1
"Asotin County, Washington",53003,8.1
"Barton County, Missouri",29011,8.1
"Bernalillo County, New Mexico",35001,8.1
"Bollinger County, Missouri",29017,8.1
"Boone County, Missouri",29019,8.1
"Bremer County, Iowa",19017,8.1
"Butler County, Kansas",20015,8.1
"Caldwell County, North Carolina",37027,8.1
"Calloway County, Kentucky",21035,8.1
"Camden County, Georgia",13039,8.1
"Champaign County, Illinois",17019,8.1
"Clay County, Texas",48077,8.1
"Coffey County, Kansas",20031,8.1
"Colbert County, Alabama",01033,8.1
"Colonial Heights City, Virginia",51570,8.1
"Crawford County, Pennsylvania",42039,8.1
"Darlington County, South Carolina",45031,8.1
"Dinwiddie County, Virginia",51053,8.1
"Durham County, North Carolina",37063,8.1
"Elk County, Kansas",20049,8.1
"Green County, Kentucky",21087,8.1
"Hamilton County, Florida",12047,8.1
"Hamilton County, Texas",48193,8.1
"Hopewell City, Virginia",51670,8.1
"Houston County, Alabama",01069,8.1
"Houston County, Minnesota",27055,8.1
"Izard County, Arkansas",05065,8.1
"Jackson County, Kansas",20085,8.1
"Jefferson County, Iowa",19101,8.1
"Johnston County, North Carolina",37101,8.1
"Kent County, Michigan",26081,8.1
"Lake County, Florida",12069,8.1
"Laurel County, Kentucky",21125,8.1
"Lexington County, South Carolina",45063,8.1
"Logan County, Kentucky",21141,8.1
"Luzerne County, Pennsylvania",42079,8.1
"Manassas City, Virginia",51683,8.1
"Manassas Park City, Virginia",51685,8.1
"Marion County, Florida",12083,8.1
"Marion County, Missouri",29127,8.1
"Meigs County, Tennessee",47121,8.1
"Montgomery County, Kentucky",21173,8.1
"Nash County, North Carolina",37127,8.1
"Nicholas County, Kentucky",21181,8.1
"Ohio County, West Virginia",54069,8.1
"Outagamie County, Wisconsin",55087,8.1
"Pemiscot County, Missouri",29155,8.1
"Pike County, Missouri",29163,8.1
"Pittsylvania County, Virginia",51143,8.1
"Prince George County, Virginia",51149,8.1
"Ramsey County, Minnesota",27123,8.1
"Riley County, Kansas",20161,8.1
"Schuyler County, Illinois",17169,8.1
"Scott County, Illinois",17171,8.1
"Sequoyah County, Oklahoma",40135,8.1
"Shiawassee County, Michigan",26155,8.1
"Stafford County, Virginia",51179,8.1
"Stone County, Arkansas",05137,8.1
"Stone County, Missouri",29209,8.1
"Suffolk County, Massachusetts",25025,8.1
"Sullivan County, Indiana",18153,8.1
"Surry County, North Carolina",37171,8.1
"Taney County, Missouri",29213,8.1
"Taylor County, Kentucky",21217,8.1
"Tishomingo County, Mississippi",28141,8.1
"Vance County, North Carolina",37181,8.1
"Venango County, Pennsylvania",42121,8.1
"Vernon County, Wisconsin",55123,8.1
"Wabaunsee County, Kansas",20197,8.1
"Arlington County, Virginia",51013,8.0
"Baker County, Florida",12003,8.0
"Bath County, Kentucky",21011,8.0
"Baxter County, Arkansas",05005,8.0
"Bourbon County, Kansas",20011,8.0
"Carbon County, Pennsylvania",42025,8.0
"Carroll County, Arkansas",05015,8.0
"Casey County, Kentucky",21045,8.0
"Caswell County, North Carolina",37033,8.0
"Charlton County, Georgia",13049,8.0
"Clarendon County, South Carolina",45027,8.0
"Columbia County, Florida",12023,8.0
"Danville City, Virginia",51590,8.0
"Doniphan County, Kansas",20043,8.0
"Fairfield County, Connecticut",09001,8.0
"Fillmore County, Minnesota",27045,8.0
"Fleming County, Kentucky",21069,8.0
"Franklin County, Missouri",29071,8.0
"Fulton County, Kentucky",21075,8.0
"Goochland County, Virginia",51075,8.0
"Hardeman County, Tennessee",47069,8.0
"Hickman County, Kentucky",21105,8.0
"Jefferson County, Oregon",41031,8.0
"Juneau County, Wisconsin",55057,8.0
"Kiowa County, Oklahoma",40075,8.0
"Lafayette Parish, Louisiana",22055,8.0
"Lauderdale County, Alabama",01077,8.0
"Lee County, South Carolina",45061,8.0
"Lewis County, Kentucky",21135,8.0
"Lewis County, Missouri",29111,8.0
"Liberty County, Florida",12077,8.0
"Lincoln County, West Virginia",54043,8.0
"Madison County, Arkansas",05087,8.0
"Manatee County, Florida",12081,8.0
"Marlboro County, South Carolina",45069,8.0
"McNairy County, Tennessee",47109,8.0
"Mecklenburg County, Virginia",51117,8.0
"Mercer County, Pennsylvania",42085,8.0
"Monroe County, Wisconsin",55081,8.0
"Peoria County, Illinois",17143,8.0
"Person County, North Carolina",37145,8.0
"Petersburg City, Virginia",51730,8.0
"Pleasants County, West Virginia",54073,8.0
"Powhatan County, Virginia",51145,8.0
"Ralls County, Missouri",29173,8.0
"Richland County, Wisconsin",55103,8.0
"Ripley County, Missouri",29181,8.0
"Robertson County, Kentucky",21201,8.0
"Robertson County, Tennessee",47147,8.0
"Rockcastle County, Kentucky",21203,8.0
"Simpson County, Kentucky",21213,8.0
"Spotsylvania County, Virginia",51177,8.0
"Sumter County, Florida",12119,8.0
"Suwannee County, Florida",12121,8.0
"Tillman County, Oklahoma",40141,8.0
"Trempealeau County, Wisconsin",55121,8.0
